,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:27:02.068,"2366",,
04/05/17 10:27:07.069,"2353",,
04/05/17 10:27:12.069,"2429",,
04/05/17 10:27:17.069,"2429",,
04/05/17 10:27:22.068,"2424",,
04/05/17 10:27:27.069,"2433",,
04/05/17 10:27:32.069,"2438",,
04/05/17 10:27:37.068,"2433",,
04/05/17 10:27:42.069,"2456",,
04/05/17 10:27:47.069,"2493",,
04/05/17 10:27:52.069,"2521",,
04/05/17 10:27:57.068,"2553",,
04/05/17 10:28:02.069,"2548",,
04/05/17 10:28:07.069,"2539",,
04/05/17 10:28:12.068,"2548",,
04/05/17 10:28:17.069,"2521",,
04/05/17 10:28:22.069,"2534",,
04/05/17 10:28:27.069,"2557",,
04/05/17 10:28:32.068,"2595",,
04/05/17 10:28:37.069,"2600",,
04/05/17 10:28:42.069,"2595",,
04/05/17 10:28:47.068,"2614",,
04/05/17 10:28:52.069,"2586",,
04/05/17 10:28:57.069,"2590",,
04/05/17 10:29:02.069,"2600",,
04/05/17 10:29:07.068,"2600",,
04/05/17 10:29:12.069,"2595",,
04/05/17 10:29:17.069,"2604",,
04/05/17 10:29:22.068,"2609",,
04/05/17 10:29:27.069,"2632",,
04/05/17 10:29:32.069,"2632",,
04/05/17 10:29:37.069,"2660",,
04/05/17 10:29:42.068,"2656",,
04/05/17 10:29:47.069,"2665",,
04/05/17 10:29:52.069,"2703",,
04/05/17 10:29:57.068,"2679",,
04/05/17 10:30:02.069,"2688",,
04/05/17 10:30:07.069,"2679",,
04/05/17 10:30:12.069,"2665",,
04/05/17 10:30:17.069,"2736",,
04/05/17 10:30:22.069,"2780",,
04/05/17 10:30:27.069,"2766",,
04/05/17 10:30:32.068,"2775",,
04/05/17 10:30:37.069,"2785",,
04/05/17 10:30:42.069,"2790",,
04/05/17 10:30:47.069,"2805",,
04/05/17 10:30:52.069,"2810",,
04/05/17 10:30:57.069,"2819",,
04/05/17 10:31:02.069,"2819",,
04/05/17 10:31:07.068,"2829",,
