,upstrm [Ambient]
,CO2
04/04/17 13:37:40.40,3137
04/04/17 13:37:45.45,3191
04/04/17 13:37:50.50,3218
04/04/17 13:37:55.55,3229
04/04/17 13:38:00.00,3283
04/04/17 13:38:05.05,3328
04/04/17 13:38:10.10,3345
04/04/17 13:38:15.15,3356
04/04/17 13:38:20.20,3435
04/04/17 13:38:25.25,3469
04/04/17 13:38:30.30,3498
04/04/17 13:38:35.35,3487
04/04/17 13:38:40.40,3528
04/04/17 13:38:45.45,3557
04/04/17 13:38:50.50,3592
04/04/17 13:38:55.55,3598
04/04/17 13:39:00.00,3622
04/04/17 13:39:05.05,3592
04/04/17 13:39:10.10,3557
04/04/17 13:39:15.15,3610
04/04/17 13:39:20.20,3639
04/04/17 13:39:25.25,3634
04/04/17 13:39:30.30,3669
04/04/17 13:39:35.35,3681
04/04/17 13:39:40.40,3675
04/04/17 13:39:45.45,3687
04/04/17 13:39:50.50,3755
04/04/17 13:39:55.55,3730
04/04/17 13:40:00.00,3773
04/04/17 13:40:05.05,3791
04/04/17 13:40:10.10,3858
04/04/17 13:40:15.15,3840
04/04/17 13:40:20.20,3865
04/04/17 13:40:25.25,3846
04/04/17 13:40:30.30,3858
04/04/17 13:40:35.35,3852
04/04/17 13:40:40.40,3896
04/04/17 13:40:45.45,3890
04/04/17 13:40:50.50,3903
04/04/17 13:40:55.55,3909
04/04/17 13:41:00.00,3896
04/04/17 13:41:00.00,3896
04/04/17 13:41:05.05,3934
04/04/17 13:41:10.10,3934
04/04/17 13:41:15.15,3896
04/04/17 13:41:20.20,3934
04/04/17 13:41:25.25,3934
04/04/17 13:41:30.30,3954
04/04/17 13:41:35.35,3979
04/04/17 13:41:40.40,3973
04/04/17 13:41:45.45,3992
04/04/17 13:41:50.50,3998
04/04/17 13:41:55.55,4011
04/04/17 13:42:00.00,4004
04/04/17 13:42:05.05,4017
04/04/17 13:42:10.10,4036
04/04/17 13:42:15.15,4049
04/04/17 13:42:20.20,4042
04/04/17 13:42:25.25,4036
04/04/17 13:42:30.30,4062
04/04/17 13:42:35.35,4023
04/04/17 13:42:40.40,4068
04/04/17 13:42:45.45,4075
04/04/17 13:42:50.50,4088
04/04/17 13:42:55.55,4049
04/04/17 13:43:00.00,4128
04/04/17 13:43:05.05,4147
04/04/17 13:43:10.10,4193
04/04/17 13:43:15.15,4147
04/04/17 13:43:20.20,4147
04/04/17 13:43:25.25,4147
04/04/17 13:43:30.30,4154
04/04/17 13:43:35.35,4161
04/04/17 13:43:40.40,4161
04/04/17 13:43:45.45,4141
04/04/17 13:43:50.50,4187
04/04/17 13:43:55.55,4226
04/04/17 13:44:00.00,4200
04/04/17 13:44:05.05,4213
04/04/17 13:44:10.10,4167
04/04/17 13:44:15.15,4193
04/04/17 13:44:20.20,4287
04/04/17 13:44:25.25,4287
04/04/17 13:44:30.30,4314
04/04/17 13:44:35.35,4314
04/04/17 13:44:40.40,4273
04/04/17 13:44:45.45,4328
04/04/17 13:44:50.50,4328
04/04/17 13:44:55.55,4287
04/04/17 13:45:00.00,4233
04/04/17 13:45:05.05,4259
04/04/17 13:45:10.10,4328
04/04/17 13:45:15.15,4355
04/04/17 13:45:15.15,4355
04/04/17 13:45:20.20,4362
04/04/17 13:45:25.25,4355
04/04/17 13:45:30.30,4355
04/04/17 13:45:35.35,4355
04/04/17 13:45:40.40,4389
04/04/17 13:45:45.45,4389
04/04/17 13:45:50.50,4382
04/04/17 13:45:55.55,4423
04/04/17 13:46:00.00,4389
04/04/17 13:46:05.05,4362
04/04/17 13:46:10.10,4348
04/04/17 13:46:15.15,4376
04/04/17 13:46:20.20,4430
04/04/17 13:46:25.25,4403
04/04/17 13:46:30.30,4437
04/04/17 13:46:35.35,4396
04/04/17 13:46:40.40,4348
04/04/17 13:46:45.45,4376
04/04/17 13:46:50.50,4410
04/04/17 13:46:55.55,4451
04/04/17 13:47:00.00,4403
04/04/17 13:47:05.05,4362
04/04/17 13:47:10.10,4389
04/04/17 13:47:15.15,4403
04/04/17 13:47:20.20,4417
04/04/17 13:47:25.25,4410
04/04/17 13:47:30.30,4396
04/04/17 13:47:35.35,4410
04/04/17 13:47:40.40,4423
04/04/17 13:47:45.45,4417
04/04/17 13:47:50.50,4417
04/04/17 13:47:55.55,4376
04/04/17 13:48:00.00,4389
04/04/17 13:48:05.05,4307
04/04/17 13:48:10.10,4300
04/04/17 13:48:15.15,4280
04/04/17 13:48:20.20,4287
04/04/17 13:48:25.25,4287
04/04/17 13:48:30.30,4287
04/04/17 13:48:35.35,4226
04/04/17 13:48:40.40,4193
04/04/17 13:48:45.45,4154
04/04/17 13:48:50.50,4141
04/04/17 13:48:55.55,4108
04/04/17 13:49:00.00,4075
04/04/17 13:49:05.05,4141
04/04/17 13:49:10.10,4134
04/04/17 13:49:15.15,4161
04/04/17 13:49:20.20,4141
04/04/17 13:49:25.25,4114
04/04/17 13:49:30.30,4121
04/04/17 13:49:30.30,4121
04/04/17 13:49:35.35,4081
04/04/17 13:49:40.40,4055
04/04/17 13:49:45.45,4036
04/04/17 13:49:50.50,4029
04/04/17 13:49:55.55,4054
04/04/17 13:50:00.00,4067
04/04/17 13:50:05.05,4087
04/04/17 13:50:10.10,4074
04/04/17 13:50:15.15,4087
04/04/17 13:50:20.20,4107
04/04/17 13:50:25.25,4074
04/04/17 13:50:30.30,4004
04/04/17 13:50:35.35,4016
04/04/17 13:50:40.40,3997
04/04/17 13:50:45.45,3953
04/04/17 13:50:50.50,3972
04/04/17 13:50:55.55,3959
04/04/17 13:51:00.00,3947
04/04/17 13:51:05.05,3915
04/04/17 13:51:10.10,3877
04/04/17 13:51:15.15,3865
04/04/17 13:51:20.20,3852
04/04/17 13:51:25.25,3834
04/04/17 13:51:30.30,3834
04/04/17 13:51:35.35,3785
04/04/17 13:51:40.40,3742
04/04/17 13:51:45.45,3724
04/04/17 13:51:50.50,3724
04/04/17 13:51:55.55,3694
04/04/17 13:52:00.00,3604
04/04/17 13:52:05.05,3622
04/04/17 13:52:10.10,3598
04/04/17 13:52:15.15,3604
04/04/17 13:52:20.20,3604
04/04/17 13:52:25.25,3639
04/04/17 13:52:30.30,3622
04/04/17 13:52:35.35,3557
04/04/17 13:52:40.40,3516
04/04/17 13:52:45.45,3504
