,upstrm [Ambient],,,dwnstrm [Ambient],Time Elapsed,AI 2: Upstream CO2 (%),AI 10: Downstream CO2 (%)
04/04/17 13:05:00.00,835,,04/04/17 13:05:16.16,938,12719.44153,0.427601303,-0.011967398
04/04/17 13:05:05.05,810,,04/04/17 13:05:21.21,950,12719.93771,0.427926693,-0.015725532
04/04/17 13:05:10.10,818,,04/04/17 13:05:26.26,941,12720.4449,0.42673633,-0.012145436
04/04/17 13:05:15.15,821,,04/04/17 13:05:31.31,927,12720.94195,0.426869741,-0.015723706
04/04/17 13:05:20.20,833,,04/04/17 13:05:36.36,938,12721.44321,0.427796495,-0.012144914
04/04/17 13:05:25.25,830,,04/04/17 13:05:41.41,950,12721.93747,0.431007623,-0.015002272
04/04/17 13:05:30.30,824,,04/04/17 13:05:46.46,941,12722.43859,0.427623983,-0.010889429
04/04/17 13:05:35.35,824,,04/04/17 13:05:51.51,938,12722.95193,0.431694654,-0.014999917
04/04/17 13:05:40.40,805,,04/04/17 13:05:56.56,917,12723.44009,0.434197606,-0.011966364
04/04/17 13:05:45.45,833,,04/04/17 13:06:01.01,914,12723.93824,0.431717629,-0.014826083
04/04/17 13:05:50.50,838,,04/04/17 13:06:06.06,922,12724.44127,0.429065122,-0.009455835
04/04/17 13:05:55.55,827,,04/04/17 13:06:11.11,942,12724.94238,0.429981647,-0.016080618
04/04/17 13:06:00.00,824,,04/04/17 13:06:16.16,925,12725.44752,0.429865236,-0.009997367
04/04/17 13:06:05.05,841,,04/04/17 13:06:21.21,838,12725.94887,0.429131559,-0.014650987
04/04/17 13:06:10.10,830,,04/04/17 13:06:26.26,705,12726.4433,0.430538574,-0.008385772
04/04/17 13:06:15.15,789,,04/04/17 13:06:31.31,579,12726.93744,0.433625885,-0.013569618
04/04/17 13:06:20.20,663,,04/04/17 13:06:36.36,451,12727.43898,0.43011974,-0.009458549
04/04/17 13:06:25.25,506,,04/04/17 13:06:41.41,347,12727.93807,0.433952981,-0.011065207
04/04/17 13:06:30.30,403,,04/04/17 13:06:46.46,284,12728.43919,0.428534827,-0.008743659
04/04/17 13:06:35.35,328,,04/04/17 13:06:51.51,224,12728.93924,0.432997685,-0.011604359
04/04/17 13:06:40.40,250,,04/04/17 13:06:56.56,196,12729.43835,0.43013983,-0.003018464
04/04/17 13:06:45.45,200,,04/04/17 13:06:56.56,196,12729.94459,0.432935745,-0.008921237
04/04/17 13:06:50.50,161,,04/04/17 13:07:01.01,162,12730.44671,0.431054508,-0.005523971
04/04/17 13:06:55.55,134,,04/04/17 13:07:06.06,150,12730.94186,0.434431045,-0.006061659
04/04/17 13:07:00.00,115,,04/04/17 13:07:11.11,138,12731.43796,0.431200281,-0.003911713
04/04/17 13:07:00.00,115,,04/04/17 13:07:16.16,112,12731.93799,0.433130472,-0.007313558
04/04/17 13:07:05.05,112,,04/04/17 13:07:21.21,105,12732.4383,0.43088166,-0.003913174
04/04/17 13:07:10.10,100,,04/04/17 13:07:26.26,97,12732.9415,0.432937719,-0.006594583
04/04/17 13:07:15.15,86,,04/04/17 13:07:31.31,94,12733.43859,0.43031704,-0.000871508
04/04/17 13:07:20.20,74,,04/04/17 13:07:36.36,92,12733.93877,0.433357451,-0.007489718
04/04/17 13:07:25.25,88,,04/04/17 13:07:41.41,96,12734.44599,0.432387418,2.2822E-05
04/04/17 13:07:30.30,83,,04/04/17 13:07:46.46,83,12734.93603,0.434538261,-0.006060335
04/04/17 13:07:35.35,70,,04/04/17 13:07:51.51,83,12735.4431,0.429937179,-0.00194516
04/04/17 13:07:40.40,74,,04/04/17 13:07:56.56,78,12735.93713,0.432846617,-0.00588202
04/04/17 13:07:45.45,72,,04/04/17 13:08:01.01,89,12736.44427,0.430477171,-0.001050157
04/04/17 13:07:50.50,78,,04/04/17 13:08:06.06,97,12736.93948,0.433148733,-0.004629661
