Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
WheatEdibleFluid,WheatEdibleFluid,solid,0.0217244,,,804,1860,,,
WheatEdibleFluid,WheatEdibleFluid,liquid,0.0217244,,,804,1860,,,
WheatInedibleDry,WheatInedibleDry,solid,0.0217244,,,804,1860,,,
WheatInedibleDry,WheatInedibleDry,liquid,0.0217244,,,804,1860,,,
WheatInedibleFluid,WheatInedibleFluid,solid,0.0217244,,,804,1860,,,
WheatInedibleFluid,WheatInedibleFluid,liquid,0.0217244,,,804,1860,,,
WhitepotatoEdibleDry,WhitepotatoEdibleDry,solid,0.02307,,,804,1860,,,
WhitepotatoEdibleDry,WhitepotatoEdibleDry,liquid,0.02307,,,804,1860,,,
WhitepotatoEdibleFluid,WhitepotatoEdibleFluid,solid,0.02307,,,804,1860,,,
WhitepotatoEdibleFluid,WhitepotatoEdibleFluid,liquid,0.02307,,,804,1860,,,
WhitepotatoInedibleDry,WhitepotatoInedibleDry,solid,0.02307,,,804,1860,,,
WhitepotatoInedibleDry,WhitepotatoInedibleDry,liquid,0.02307,,,804,1860,,,
WhitepotatoInedibleFluid,WhitepotatoInedibleFluid,solid,0.02307,,,804,1860,,,
WhitepotatoInedibleFluid,WhitepotatoInedibleFluid,liquid,0.02307,,,804,1860,,,
Drybean,Drybean,solid,0.02432,,,804,1860,,,
Drybean,Drybean,liquid,0.02432,,,804,1860,,,
Lettuce,Lettuce,solid,0.02432,,,804,1860,,,
Lettuce,Lettuce,liquid,0.02432,,,804,1860,,,
Peanut,Peanut,solid,0.02432,,,804,1860,,,
Peanut,Peanut,liquid,0.02432,,,804,1860,,,
Rice,Rice,solid,0.02432,,,804,1860,,,
Rice,Rice,liquid,0.02432,,,804,1860,,,
Soybean,Soybean,solid,0.02432,,,804,1860,,,
Soybean,Soybean,liquid,0.02432,,,804,1860,,,
